#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-10-18T14:32:59 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5806326966da	
#INFO	-out.max=unlimited	
#INFO	queryParameters=46	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-nav=cat:B/sb9&tab:{B/sb9/main}&tab:{B/sb9/orbits}&key:source=B/sb9/main&key:source=B/sb9/orbits&HTTPPRM:&&-ref=VIZ5806326966da&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=B/sb9/main,B/sb9/orbits
#-order=I
#-out=Seq
#-sort=Seq
#-joincol={B/sb9/main}.{Seq}
#-joincol=Seq
#-out=N
#-out=RAJ2000
#-out=DEJ2000
#-out=Comp
#-out=mag1
#-out=n_mag1
#-out=mag2
#-out=n_mag2
#-out=Sp1
#-out=Sp2
#-out=Name
#-out=Simbad
#Simbad=Simbad
#-out=o
#-out=Per
#-out=f_Per
#-out=e_Per
#-out=e
#-out=f_e
#-out=e_e
#-out=K1
#-out=K2
#-out=V0
#-out=rms1
#-out=rms2
#-out=Grade
#Grade=> -1
#-out=Ref
#SB8=SB8
#-out=Details
#Details=Details
#

#RESOURCE=join
#Name: #Join
#Title:  Join tables B/sb9/main,B/sb9/orbits
#
#Table	B_sb9_main_B_sb9_orbits:
#Name: B/sb9/main,B/sb9/orbits
#Title:
#Column	_RAJ20001	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ20001	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Seq1	(I4)	[1/3531] System Number (SB8 number when Seq<=1469) \linkRole{aliases and known periods for this binary } [NULL integer written as an empty string]	[ucd=meta.id;meta.main]
#Column	N1	(A1)	{\bf N} when a note exists	[ucd=phot.mag;em.IR.8-15um]
#Column	RAJ20001	(A11)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ20001	(A11)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Comp1	(a5)	Component	[ucd=meta.code.multip]
#Column	mag11	(F6.3)	? Magnitude of component 1	[ucd=phot.mag]
#Column	n_mag11	(A1)	[JPBVRyrIK] Filter in which mag1 is given	[ucd=meta.note]
#Column	mag21	(F6.3)	? Magnitude of component 2	[ucd=phot.mag]
#Column	n_mag21	(A1)	[PBVRyrIK] Filter in which mag2 is given	[ucd=meta.note]
#Column	Sp11	(a16)	MK Spectral type component 1	[ucd=src.spType]
#Column	Sp21	(a10)	MK Spectral type component 2	[ucd=src.spType]
#Column	Name1	(a29)	Name of the source (HIP when existing)	[ucd=meta.id]
#Column	Simbad1	(a6)	ask the {\bf\fg{FireBrick}Simbad} data-base about this object	[ucd=meta.ref.url]
#Column	N2	(A1)	{\bf N} when a note exists	[ucd=phot.mag;em.IR.8-15um]
#Column	o2	(I1)	Orbit number [NULL integer written as an empty string]	[ucd=meta.id]
#Column	Per2	(F12.4)	[0.05,116675] Period	[ucd=time.period]
#Column	f_Per2	(A1)	[a] a=assumed (fixed)	[ucd=meta.code]
#Column	e_Per2	(F12.4)	? Mean error on Per	[ucd=stat.error]
#Column	e2	(F6.4)	Orbital eccentricity	[ucd=src.orbital.eccentricity]
#Column	f_e2	(A1)	[>a] a=assumed (fixed) (1)	[ucd=meta.code]
#Column	e_e2	(F6.4)	? Mean error on eccentricity	[ucd=stat.error]
#Column	K12	(F7.2)	? Velocity amplitude of primary	[ucd=phys.veloc]
#Column	K22	(F7.2)	? Velocity amplitude of secondary	[ucd=phys.veloc]
#Column	V02	(F7.2)	? Systemtic velocity	[ucd=phys.veloc]
#Column	rms12	(F7.2)	? rms residuals of Radial Velocity primary	[ucd=stat.stdev]
#Column	rms22	(F7.2)	? rms residuals of Radial Velocity secondary	[ucd=stat.stdev]
#Column	Grade2	(F4.1)	? Grade of orbit (0=poor, 5=definitive)	[ucd=stat.weight]
#Column	Ref2	(a51)	Reference (bibcode) of orbit publication	[ucd=meta.bib]
#Column	Details2	(a7)	Detailed velocities and plots from http://sb9.astro.ulb.ac.be/	[ucd=meta.ref.url]
dec|ra|Seq|N|RAJ2000|DEJ2000|Comp|mag1|n_mag1|mag2|n_mag2|Sp1|Sp2|Name|Simbad|N|o|Per|f_Per|e_Per|e|f_e|e_e|K1|K2|V0|rms1|rms2|Grade|Ref|Details
+29.45428|005.70783|  16|N|00 22 49.88|+29 27 15.4|     | 7.000|V|      | |A3V             |          |HIP 1799                     |Simbad|N|1|      1.4323| |            |0.0200| |      |  53.40|       |   4.40|       |       | 4.0|1949PDDO....1..473T                                |Details
+52.01992|006.06525|  17|N|00 24 15.66|+52 01 11.7|A    | 5.560|V|      | |B5IV            |          |HIP 1921                     |Simbad|N|1|     27.8000| |            |0.2000| |      |  30.00|       | -18.00|       |       | 1.0|1963ApJ...137..791B                                |Details
+52.01992|006.06525|  17|N|00 24 15.66|+52 01 11.7|A    | 5.560|V|      | |B5IV            |          |HIP 1921                     |Simbad|N|2|     25.4176| |      0.0004|0.1222| |0.0290|  23.57|       |  -9.70|   4.81|       | 4.0|2007ApJ...655..473M                                |Details
+31.37306|006.16533|  18|N|00 24 39.68|+31 22 23.0|     | 6.740|V|      | |B8VHgMn         |          |HIP 1952                     |Simbad|N|1|      3.1128| |            |0.0300| |      |  79.60| 134.70|   4.80|       |       | 3.0|1949PDDO....1..487H                                |Details
+53.04678|006.27671|  19|N|00 25 06.41|+53 02 48.4|     | 5.740|V|      | |B9IV            |          |HIP 1982                     |Simbad|N|1|     48.2905| |            |0.3800| |      |  30.10|       |   3.40|       |       | 3.0|1983A&AS...53...29H                                |Details
-51.04386|006.18675|  20| |00 24 44.82|-51 02 37.9|     | 6.810|V|      | |G4IV-V          |          |HIP 1955                     |Simbad| |1|    115.3300| |            |0.3300| |      |  15.30|       |   8.30|       |       | 3.0|1967RGOB..130..355B                                |Details
-42.30597|006.57104|  21|N|00 26 17.05|-42 18 21.5|     | 2.400|V|      | |K0III           |          |HIP 2081                     |Simbad|N|1|   3848.8300| |            |0.3400| |      |   5.80|       |  75.20|       |       | 3.0|1924AnCap..10.....L                                |Details
+30.89333|006.84758|  22|N|00 27 23.42|+30 53 36.0|     | 8.400| |      | |K1III           |          |HIP 2170                     |Simbad|N|1|    936.0000| |            |0.0000| |      |  12.60|       | -20.00|       |       | 4.0|1979Obs....99...87G                                |Details
+44.39444|007.05687|  23| |00 28 13.65|+44 23 40.0|     | 5.200|V|      | |A2Vs            |          |HIP 2225                     |Simbad| |1|      3.9558| |            |0.1500| |      |  41.70|       |   2.00|       |       | 3.0|1912PAllO...2..191U                                |Details
+60.21197|007.49413|  24| |00 29 58.59|+60 12 43.1|     | 8.690|V| 9.270|V|F5-G3Ib         |          |HIP 2347                     |Simbad| |1|    688.0000| |            |0.2800| |      |  14.00|       | -38.10|       |       | 2.0|1987AJ.....94..403H                                |Details
+60.15114|007.52500|  25| |00 30 06.00|+60 09 04.1|     | 8.850|V|      | |F5Ib            |          |HIP 2354                     |Simbad| |1|   2440.0000| |            |0.1400| |      |  15.10|       | -38.00|       |       | 3.0|1987AJ.....94..403H                                |Details
+62.51117|008.37658|  26|N|00 33 30.38|+62 30 40.2|     |11.000| |11.500| |B3              |          |HIP 2644                     |Simbad|N|1|      1.2435| |            |0.2000| |      |  93.00|       | -45.00|       |       | 1.0|1947ApJ...106...92S                                |Details
 -3.59283|008.81200|  27|N|00 35 14.88|-03 35 34.2|A    | 5.200|V|      | |F8V             |          |HIP 2762                     |Simbad|N|1|      2.0819| |            |0.0100| |      |  38.40|       |       |       |       | 3.0|1933ApJ....78..225L                                |Details
+48.55575|009.06442|  28| |00 36 15.46|+48 33 20.7|     | 7.500|V|      | |B2V             |          |HIP 2860                     |Simbad| |1|     13.5040| |            |0.5100| |      |  23.70|       |  -5.20|       |       | 3.0|1949PDDO....1..499S                                |Details
+27.25475|009.08375|  29|N|00 36 20.10|+27 15 17.1|     | 6.500|V|      | |B8IIIp          |          |HIP 2865                     |Simbad|N|1|    399.6000| |            |0.5700| |      |   8.10|       |   4.00|       |       | 2.0|1984A&AS...57...55S                                |Details
+44.48858|009.19350|  30|N|00 36 46.44|+44 29 18.9|     | 5.130|V|      | |K5III           |          |HIP 2900                     |Simbad|N|1|    576.2000| |            |0.3000| |      |   0.70|       | -33.60|       |       | 3.0|1985PASP...97..740M                                |Details
+33.71933|009.22021|  31|N|00 36 52.85|+33 43 09.6|A    | 4.350|V|      | |B5V             |B5V       |HIP 2912                     |Simbad|N|1|    143.6065| |            |0.5600| |      |  47.50| 117.40|   8.40|       |       | 5.0|1936PASP...48..214P                                |Details
-25.67303|009.11704|  32|N|00 36 28.09|-25 40 22.9|     | 9.800| |10.500| |F0              |G8        |CD -26 179                   |Simbad|N|1|      0.5116| |            |0.0000| |      | 105.20|       |  30.60|       |       | 3.0|1986MNRAS.223..581H                                |Details
-49.13233|009.15825|  33|N|00 36 37.98|-49 07 56.4|A    | 6.780|V|      | |G3V             |G8V       |HIP 2888                     |Simbad|N|1|      3.7418| |            |0.0100| |      |  84.90|  86.80|  -3.00|       |       | 3.0|1962RGOB...61...91B                                |Details
+30.86103|009.83200|  34|N|00 39 19.68|+30 51 39.7|A    | 3.220|V|      | |K3III           |          |HIP 3092                     |Simbad|N|1|  20157.7000| |            |0.3400| |      |   4.00|       |  -8.50|       |       | 1.0|1976JRASC..70...23B                                |Details
+50.23764|010.02608|  35|N|00 40 06.26|+50 14 15.5|     |10.590|V|11.400|V|K5V             |          |GCVS V523 Cas                |Simbad|N|1|      0.2337| |            |0.0000| |      |  96.00| 231.00|  -3.00|       |       | 2.0|1985AJ.....90..354M                                |Details
+50.23764|010.02608|  35|N|00 40 06.26|+50 14 15.5|     |10.590|V|11.400|V|K5V             |          |GCVS V523 Cas                |Simbad|N|2|      0.2337| |            |0.0000| |      | 121.64| 235.95|  -2.54|   7.82|  10.37| 5.0|2003AJ....125.3258R                                |Details
+50.51253|010.51621|  36|N|00 42 03.89|+50 30 45.1|     | 4.800|V|      | |B2V             |          |HIP 3300                     |Simbad|N|1|    940.2000| |            |0.4000| |      |  11.90|       | -10.60|       |       | 2.0|1978ApJS...36..241A                                |Details
+52.33717|010.65829|  37|N|00 42 37.99|+52 20 13.8|     | 6.910|V|      | |B1III           |          |HIP 3346                     |Simbad|N|1|      5.5429| |            |0.0000| |      |  34.90|  77.00| -82.30|       |       | 3.0|1986ApJS...61..419G                                |Details
+35.54878|010.70104|  38|N|00 42 48.25|+35 32 55.6|     |10.380|V|      | |dM1e            |dM1e      |HIP 3362                     |Simbad|N|1|      2.1703| |            |0.0000| |      |  72.10|  74.30|  -0.50|       |       | 2.0|1977PASP...89...65B                                |Details
+47.02456|010.86696|  39|N|00 43 28.07|+47 01 28.4|     | 4.940|V|      | |A5V             |          |HIP 3414                     |Simbad|N|1|      1.9642| |            |0.0000| |      | 120.50| 122.10|  12.90|       |       | 5.0|1955MmSAI..27...65M                                |Details
-65.46803|010.61821|  40|N|00 42 28.37|-65 28 04.9|     | 5.380|V|      | |F5              |          |HIP 3330                     |Simbad|N|1|      4.8202| |            |0.0200| |      |  26.10|       |  14.10|       |       | 5.0|1929PASP...41..371N                                |Details
+74.98808|011.41283|  41|N|00 45 39.08|+74 59 17.1|A    | 5.630| | 6.000| |A1V             |          |HIP 3572                     |Simbad|N|1|      4.4672| |            |0.0000| |      |  73.40| 125.70|   8.10|       |       | 5.0|1981ApJ...251..591L                                |Details
+40.67936|011.15496|  42|N|00 44 37.19|+40 40 45.7|     | 7.080|V| 7.800|V|M2IIIep         |          |HIP 3494                     |Simbad|N|1|    470.0000| |            |0.0000| |      |   8.60|       | -94.80|       |       | 2.0|1985ApJ...295..620O                                |Details
+40.67936|011.15496|  42|N|00 44 37.19|+40 40 45.7|     | 7.080|V| 7.800|V|M2IIIep         |          |HIP 3494                     |Simbad|N|2|    482.5700| |      0.5300|0.0000| |      |   7.32|       | -95.00|       |       | 4.0|2000AJ....119.1375F                                |Details
+48.28436|011.18133|  43|N|00 44 43.52|+48 17 03.7|A    | 4.540|V|      | |B5IIIe          |          |HIP 3504                     |Simbad|N|1|   1033.0000| |            |0.1100| |      |  19.00|       | -18.70|       |       | 1.0|1978ApJS...36..241A                                |Details
+74.84758|011.94187|  44| |00 47 46.05|+74 50 51.3|     | 5.410| |      | |B8III           |          |HIP 3721                     |Simbad| |1|     33.7500| |            |0.4100| |      |  16.30|       |  -4.10|       |       | 3.0|1915PDAO....2..181Y                                |Details
+24.26717|011.83467|  45|N|00 47 20.32|+24 16 01.8|     | 4.060|V|      | |K1II            |          |HIP 3693                     |Simbad|N|1|     17.7692| |            |0.0000| |      |  26.30|       | -23.70|       |       | 4.0|1950ApJ...111...31G                                |Details
+16.94064|012.24462|  46|N|00 48 58.71|+16 56 26.3|     | 5.070|V|      | |F8V             |          |HIP 3810                     |Simbad|N|1|     13.8246| |            |0.2400| |      |  57.50|  58.80|   4.10|       |       | 4.0|1979A&AS...35..203N                                |Details
+41.07892|012.45354|  47|N|00 49 48.85|+41 04 44.1|     | 4.530|V|      | |B5V             |F8V       |HIP 3881                     |Simbad|N|1|      4.2827| |            |0.0300| |      |  71.70| 101.90| -23.50|       |       | 3.0|1978ApJS...36..241A                                |Details
+64.08478|013.69146|  48|N|00 54 45.95|+64 05 05.2|     | 8.850|V|      | |A5Ia            |          |HIP 4279                     |Simbad|N|1|    197.2800| |            |0.0000| |      |  35.60|       | -50.50|       |       | 1.0|1977PASP...89..315P                                |Details
+60.36283|014.19571|  49|N|00 56 46.97|+60 21 46.2|Bab  | 5.550|V|      | |B9IVn           |          |HIP 4440                     |Simbad|N|1|      4.2424| |            |0.4600| |      |  88.20| 121.50|  -3.20|       |       | 3.0|N????                                              |Details
+60.36283|014.19571|  49|N|00 56 46.97|+60 21 46.2|Bab  | 5.550|V|      | |B9IVn           |          |HIP 4440                     |Simbad|N|2|      4.2411| |      0.0000|0.4150| |0.0030|  82.80| 123.70|   0.00|       |       | 4.0|1992AJ....103.1357C                                |Details
+23.41764|014.30167|  50|N|00 57 12.40|+23 25 03.5|A    | 4.420|V|      | |G8III-IV        |G8III-IV  |HIP 4463                     |Simbad|N|1|    115.7100| |            |0.0100| |      |  17.90|  19.80| -10.30|       |       | 4.0|1946ApJ...103...13G                                |Details
+23.41764|014.30167|  50|N|00 57 12.40|+23 25 03.5|A    | 4.420|V|      | |G8III-IV        |G8III-IV  |HIP 4463                     |Simbad|N|2|    115.7140| |      0.0055|0.0081| |0.0054|  17.91|  19.85| -10.37|   1.81|   2.10| 5.0|2000A&AS..145..215P                                |Details
+47.03658|014.67958|  51|N|00 58 43.10|+47 02 11.7|     | 6.850|V|      | |B5s             |          |HIP 4584                     |Simbad|N|1|     10.4180| |            |0.1300| |      |  64.30|       | -12.90|       |       | 3.0|N1937                                              |Details
+81.87558|015.57683|  52|N|01 02 18.44|+81 52 32.1|A    | 6.950|V| 9.110|V|B7V             |G8III-IV  |HIP 4843                     |Simbad|N|1|      2.4930| |            |0.0000| |      | 120.00| 182.00|  -2.00|       |       | 1.0|1974PDAO...14..191B                                |Details
-72.16497|014.86071|  53|N|00 59 26.57|-72 09 53.9|     |11.880| |      | |WN4             |O7I       |Cl* NGC 346 KWBBE 13         |Simbad|N|1|     19.2660| |            |0.4900| |      | 255.00|       |  78.00|       |       | 1.0|1982ApJ...257..116B                                |Details
+31.80428|015.70458|  54|N|01 02 49.10|+31 48 15.4|     | 5.500|V|      | |B9V             |          |HIP 4889                     |Simbad|N|1|     81.1200| |            |0.9000| |      |  54.30|  60.00|  10.40|       |       | 3.0|1947ApJ...105..229B                                |Details
+41.29939|016.14808|  55|N|01 04 35.54|+41 17 57.8|     |10.300| |13.600| |sdBe            |          |GCVS RX And                  |Simbad|N|1|      0.2115| |            |0.0000| |      |  99.00|       |  17.00|       |       | 1.0|1982PASP...94..102H                                |Details
-72.11222|015.85508|  56|N|01 03 25.22|-72 06 44.0|     |12.360|V|      | |WN3             |O6.5-7    |RMC 31                       |Simbad|N|1|      6.5380| |            |0.0000| |      |  62.00| 345.00| 171.00|       |       | 2.0|1984PASP...96..811H                                |Details
+54.92033|017.06829|  57|N|01 08 16.39|+54 55 13.2|A    | 5.150|V|      | |G5VI            |          |HIP 5336                     |Simbad|N|1|   8393.0000| |            |0.3000| |      |   2.80|       | -98.00|       |       | 1.0|1977ApJ...217..134W                                |Details
-35.66067|016.61075|  58|N|01 06 26.58|-35 39 38.4|     | 6.580|V|      | |Am              |Am        |HIP 5193                     |Simbad|N|1|     10.6157| |            |0.2200| |      |  52.20|  50.20|  17.90|       |       | 3.0|1962RGOB...61...91B                                |Details
+60.07650|017.55471|  59|N|01 10 13.13|+60 04 35.4|     |12.600|V|19.320|V|em              |          |GCVS HT Cas                  |Simbad|N|1|      0.0736| |            |0.0000| |      | 115.00|       |  11.00|       |       | 1.0|1981ApJ...245.1035Y                                |Details
-55.24575|017.09617|  60|N|01 08 23.08|-55 14 44.7|A    | 3.950|V|      | |B6V             |B8V       |HIP 5348                     |Simbad|N|1|      1.6698| |            |0.0000| |      | 131.50| 202.60|  17.20|       |       | 4.0|1983A&A...118..255A                                |Details
-46.26558|017.39246|  61| |01 09 34.19|-46 15 56.1|     | 8.580|V| 9.350|V|F7V             |K0IV      |HIP 5438                     |Simbad| |1|     24.5923| |            |0.1900| |      |  51.00|  49.20|  -1.80|       |       | 5.0|1988A&A...196..128A                                |Details
